productNo,koh_route_id,ref,productName,time,arrivalTime,hourReserve,duration,map,photo,priceAdult,priceChild,sellingPriceAdult,sellingPriceChild,provinceId,province,provinceToId,provinceTo,areaId,area,areaToId,areaTo,destinationId,destination,destinationToId,destinationTo
C2,676,BKKAOW0001,Bangkok (Khaosan Road) 18:00 - Ao Nang 10:00,18:00,10:00,3,16:0 hrs.,"13.7586581,100.49756619999994",https://img.adv-tour.com/photo/package/1497530532_2.jpg,750,650,900,750,1,Bangkok,4,Krabi,3,Khaosan road,14,City,4,Songserm Office,23,Ao Nang
C3,5418,BKKAOW0002,Bangkok (Hua Lamphong Railway Station) By Bus 19:00 - Ao Nang 10:00,19:00,10:00,3,15:0 hrs.,"13.739052, 100.516596",https://img.adv-tour.com/photo/package/1497531020_2.jpg,750,650,900,750,1,Bangkok,4,Krabi,2,Hua Lamphong,14,City,3,-,23,Ao Nang
C12,706,BKKPHI0001,Bangkok (Khaosan Road) 18:00 - Koh Phi Phi 10:30,18:00,10:30,3,16:30 hrs.,"13.7586581,100.49756619999994",https://img.adv-tour.com/photo/package/1498202798_2.jpg,800,700,950,800,1,Bangkok,4,Krabi,3,Khaosan road,18,Koh Phi Phi,4,Songserm Office,30,Ton Sai Pier
C13,5419,BKKPHI0002,Bangkok (Hua Lamphong Railway Station) By Bus 19:00 - Koh Phi Phi 10:30,19:00,10:30,3,15:30 hrs.,"13.739052, 100.516596",https://img.adv-tour.com/photo/package/1497606351_2.jpg,800,700,950,800,1,Bangkok,4,Krabi,2,Hua Lamphong,18,Koh Phi Phi,3,-,30,Ton Sai Pier
C14,674,BKKPNG0001,Bangkok (Khaosan Road) 18:00 - Koh Phangan 12:15,18:00,12:15,3,18:15 hrs.,"13.7586581,100.49756619999994",https://img.adv-tour.com/photo/package/1498202600_2.jpg,700,600,850,700,1,Bangkok,11,Suratthani,3,Khaosan road,49,Koh Phangan,4,Songserm Office,68,Thongsala Pier
C15,5420,BKKPNG0002,Bangkok (Hua Lamphong Railway Station) By Bus 19:00 - Koh Phangan 12:15,19:00,12:15,3,17:15 hrs.,"13.739052, 100.516596",https://img.adv-tour.com/photo/package/1498202694_2.jpg,700,600,850,700,1,Bangkok,11,Suratthani,2,Hua Lamphong,49,Koh Phangan,3,-,68,Thongsala Pier
C16,677,BKKLAY0001,Bangkok (Khaosan Road) 18:00 - Railay Beach 10:30,18:00,10:30,3,16:30 hrs.,"13.7586581,100.49756619999994",https://img.adv-tour.com/photo/package/1497534002_2.jpg,900,800,1050,900,1,Bangkok,4,Krabi,3,Khaosan road,14,City,4,Songserm Office,37,Railay
C17,5421,BKKLAY0002,Bangkok (Hua Lamphong Railway Station) By Bus 19:00 - Railay Beach 10:30,19:00,10:30,3,15:30 hrs.,"13.739052, 100.516596",https://img.adv-tour.com/photo/package/1497599604_2.jpg,800,700,950,800,1,Bangkok,4,Krabi,2,Hua Lamphong,14,City,3,-,37,Railay
C18,422,BKKSOK0001,Bangkok (Khaosan Road) 18:00 - Khao Sok 10:00,18:00,10:00,3,16:0 hrs.,"13.7586581,100.49756619999994",https://img.adv-tour.com/photo/package/1498208466_2.jpg,750,650,900,750,1,Bangkok,11,Suratthani,3,Khaosan road,47,City,4,Songserm Office,65,Khao Sok
C19,5422,BKKSOK0002,Bangkok (Hua Lamphong Railway Station) By Bus 19:00 - Khao Sok 10:00,19:00,10:00,3,15:0 hrs.,"13.739054, 100.516608",https://img.adv-tour.com/photo/package/1498208573_2.jpg,750,650,900,750,1,Bangkok,11,Suratthani,2,Hua Lamphong,47,City,3,-,65,Khao Sok
C20,661,BKKTAO0001,Bangkok (Khaosan Road) 18:00 - Koh Tao 09:45,18:00,09:45,3,15:45 hrs.,"13.7586581,100.49756619999994",https://img.adv-tour.com/photo/package/1498208941_2.jpg,750,650,900,750,1,Bangkok,11,Suratthani,3,Khaosan road,51,Koh Tao,4,Songserm Office,99,Mae Haad Pier
C21,5423,BKKTAO0002,Bangkok (Hua Lamphong Railway Station) By Bus 19:00  - Koh Tao 09:45,19:00,09:45,3,14:45 hrs.,"13.739054, 100.516608",https://img.adv-tour.com/photo/package/1498209086_2.jpg,750,650,900,750,1,Bangkok,11,Suratthani,2,Hua Lamphong,51,Koh Tao,3,-,99,Mae Haad Pier
C22,662,BKKUSM0001,Bangkok (Khaosan Road) 18:00 - Koh Samui 11:20,18:00,11:20,3,17:20 hrs.,"13.7586581,100.49756619999994",https://img.adv-tour.com/photo/package/1498209914_2.jpg,650,550,800,650,1,Bangkok,11,Suratthani,3,Khaosan road,50,Koh Samui,4,Songserm Office,87,Nathon Pier
C23,5179,BKKUSM0002,Bangkok (Hua Lamphong Railway Station) By Bus 19:00 - Koh Samui 11:20,19:00,11:20,3,16:20 hrs.,"13.739054, 100.516608",https://img.adv-tour.com/photo/package/1498210371_2.jpg,650,550,800,650,1,Bangkok,11,Suratthani,2,Hua Lamphong,50,Koh Samui,3,-,87,Nathon Pier
C24,680,CPNPNG0001,Chumphon Pier 07:00  - Koh Phangan 12:00,07:00,12:00,3,5:0 hrs.,"10.445133,99.24880600000006",https://img.adv-tour.com/photo/package/1498213678_2.jpg,650,350,850,420,3,Chumphon,11,Suratthani,71,Pier,49,Koh Phangan,9,Matthaphon,68,Thongsala Pier
C25,681,CPNUSM0001,Chumphon Pier 07:00  - Koh Samui 13:15,07:00,13:15,3,6:15 hrs.,"10.445133,99.24880600000006",https://img.adv-tour.com/photo/package/1498214414_2.jpg,750,400,900,450,3,Chumphon,11,Suratthani,71,Pier,50,Koh Samui,9,Matthaphon,87,Nathon Pier
C26,5395,DONPNG0001,Donsak Pier(Laem Thuat) 10.00 - Koh Phangan 12.15,10:00,12:15,1,2:15 hrs.,"9.337484900000002,99.68132500000002",https://img.adv-tour.com/photo/package/1503054743_2.jpg,250,130,300,150,11,Suratthani,11,Suratthani,46,Pier,49,Koh Phangan,62,Donsak Pier,68,Thongsala Pier
C27,5396,DONPNG0002,Donsak Pier(Laem Thuat)  16:30 - Koh Phangan 18:45,16:00,18:45,3,2:45 hrs.,"9.337484900000002,99.68132500000002",https://img.adv-tour.com/photo/package/1503054619_2.jpg,250,130,300,150,11,Suratthani,11,Suratthani,46,Pier,49,Koh Phangan,62,Donsak Pier,68,Thongsala Pier
C28,5397,DONTAO0001,Donsak Pier(Laem Thuat) 10.00 - Koh Tao 14:30,10:00,14:30,3,4:30 hrs.,"9.337484900000002,99.68132500000002",https://img.adv-tour.com/photo/package/1503054487_2.jpg,500,250,600,500,11,Suratthani,11,Suratthani,46,Pier,51,Koh Tao,62,Donsak Pier,99,Mae Haad Pier
C33,750,KBVPNG0001,Krabi (Andamanwave) 07:00 - Koh Phangan 12:15,07:00,12:15,16,5:15 hrs.,"8.080930599999999, 98.89891539999996",https://img.adv-tour.com/photo/package/1503052145_2.jpg,600,500,700,600,4,Krabi,11,Suratthani,14,City,49,Koh Phangan,31,Andaman wave krabi,68,Thongsala Pier
C34,751,KBVPNG0002,Krabi (Andamanwave) 12:30  - Koh Phangan 18:45,12:30,18:45,12,6:15 hrs.,"8.080930599999999, 98.89891539999996",https://img.adv-tour.com/photo/package/1503052067_2.jpg,600,500,700,600,4,Krabi,11,Suratthani,14,City,49,Koh Phangan,31,Andaman wave krabi,68,Thongsala Pier
C37,752,KBVTAO0001,Krabi (Andamanwave) 07:00  - Koh Tao 14:30,07:00,14:30,16,7:30 hrs.,"8.080930599999999, 98.89891539999996",https://img.adv-tour.com/photo/package/1503051579_2.jpg,650,550,800,650,4,Krabi,11,Suratthani,14,City,51,Koh Tao,31,Andaman wave krabi,99,Mae Haad Pier
C38,748,KBVUSM0001,Krabi (Andamanwave) 07:00  - Koh Samui 11:20,07:00,11:20,16,4:20 hrs.,"8.080930599999999, 98.89891539999996",https://img.adv-tour.com/photo/package/1503051400_2.jpg,400,300,500,400,4,Krabi,11,Suratthani,14,City,50,Koh Samui,31,Andaman wave krabi,87,Nathon Pier
C39,749,KBVUSM0002,Krabi (Andamanwave) 12:30  - Koh Samui 17:45,12:30,17:45,12,5:15 hrs.,"8.080930599999999, 98.89891539999996",https://img.adv-tour.com/photo/package/1503051322_2.jpg,400,300,500,400,4,Krabi,11,Suratthani,14,City,50,Koh Samui,31,Andaman wave krabi,87,Nathon Pier
C43,561,PHIPNG0001,Koh Phi Phi 10:30  - Koh Phangan 18:45,10:30,18:45,12,8:15 hrs.,"7.7379053,98.77061959999992",https://img.adv-tour.com/photo/package/1503041187_2.jpg,650,550,800,650,4,Krabi,11,Suratthani,18,Koh Phi Phi,49,Koh Phangan,30,Ton Sai Pier,68,Thongsala Pier
C46,758,PHIUSM0001,Koh Phi Phi 10:30  - Koh Samui 17:45,10:30,17:45,6,7:15 hrs.,"7.7379053,98.77061959999992",https://img.adv-tour.com/photo/package/1503038917_2.jpg,550,450,700,550,4,Krabi,11,Suratthani,18,Koh Phi Phi,50,Koh Samui,30,Ton Sai Pier,87,Nathon Pier
