productNo,kohRouteId,ref,productName,time,arrivalTime,hourReserve,duration,map,photo,priceAdult,priceChild,sellingPriceAdult,sellingPriceChild,provinceId,province,provinceToId,provinceTo,areaId,area,areaToId,areaTo,destinationId,destination,destinationToId,destinationTo
C505,5731,KBVANYUSMANY001,Krabi Any Hotel 06:00 - Koh Samui Any Hotel 12:30,06:00,12:30,13,6:30 hrs.,,,700,600,850,700,4,Krabi,11,Suratthani,14,City,50,Koh Samui,0,,0,
C506,6170,KBVANYUSMANY002,Krabi Any Hotel 11:00 - Koh Samui Any Hotel 19:00,11:00,19:00,16,8:0 hrs.,,,700,600,850,700,4,Krabi,11,Suratthani,14,City,47,City,0,,0,
C508,6171,KBVANYPHI002,Krabi Any Hotel 12:00 - Koh Phi Phi 15:00,12:00,15:00,12,3:0 hrs.,,,350,250,450,350,4,Krabi,4,Krabi,14,City,18,Koh Phi Phi,0,,30,Ton Sai Pier
C509,6172,KBVANYPNG001,Krabi Any Hotel 06:00 - Koh Phangan 12:15,06:00,12:15,13,6:15 hrs.,,,600,500,700,600,4,Krabi,11,Suratthani,14,City,49,Koh Phangan,0,,68,Thongsala Pier
C510,6173,KBVANYPNG002,Krabi Any Hotel 11:00 - Koh Phangan 18:45,11:00,18:45,16,7:45 hrs.,,,700,600,850,700,4,Krabi,11,Suratthani,14,City,49,Koh Phangan,0,,68,Thongsala Pier
C511,6174,KBVANYUSM001,Krabi Any Hotel 06:00 - Koh Samui 11:20,06:00,11:20,13,5:20 hrs.,,,500,400,650,500,4,Krabi,11,Suratthani,14,City,50,Koh Samui,0,,87,Nathon Pier
C512,6175,KBVANYUSM002,Krabi Any Hotel 11:00 - Koh Samui 17:45,11:00,17:45,16,6:45 hrs.,,,500,400,650,500,4,Krabi,11,Suratthani,14,City,50,Koh Samui,0,,87,Nathon Pier
C513,6176,KBVANYTAO001,Krabi Any Hotel 06:00 - Koh Tao 14:30,06:00,14:30,13,8:30 hrs.,,,850,750,990,850,4,Krabi,11,Suratthani,14,City,51,Koh Tao,0,,99,Mae Haad Pier
C514,5398,KBVANYBKK001,Krabi Any Hotel 16:00 - Bangkok ( Khaosan Road )05:30,16:00,05:30,12,13:30 hrs.,,,700,600,850,650,4,Krabi,1,Bangkok,14,City,3,Khaosan road,0,,121,Bus Stop (Rajadamnoen Rd.)
C517,6148,USMANYAN001,Koh Samui Any Hotel 06:30 - Ao Nang Beach 13:00,06:30,13:00,10,6:30 hrs.,"9.5355552,99.93455449999999",,600,450,750,600,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,23,Ao Nang
C518,6149,USMANYAN002,Koh Samui Any Hotel 11:30 - Ao Nang Beach 19:00,11:30,19:00,18,7:30 hrs.,"9.5355552,99.93455449999999",,600,450,750,600,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,23,Ao Nang
C519,6150,USMANYPNG001,Koh Samui Any Hotel 09:30 - Koh Phangan 12:15,09:30,12:15,18,2:45 hrs.,"9.5355552,99.93455449999999",,300,180,350,250,11,Suratthani,11,Suratthani,50,Koh Samui,49,Koh Phangan,0,,68,Thongsala Pier
C520,6151,USMANYTAO001,Koh Samui Any Hotel 09:30 - Koh Tao 14:30,09:30,14:30,18,5:0 hrs.,"9.5355552,99.93455449999999",,550,300,650,400,11,Suratthani,11,Suratthani,50,Koh Samui,51,Koh Tao,0,,99,Mae Haad Pier
C521,6152,USMANYURT001,Koh Samui Any Hotel 06:30 - Suratthani airport 12:00,06:30,12:00,18,5:30 hrs.,"9.5355552,99.93455449999999",,550,400,650,550,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,106,Suratthani Airport
C522,6153,USMANYURT002,Koh Samui Any Hotel 11:30 - Suratthani airport 18:00,11:30,18:00,18,6:30 hrs.,"9.5355552,99.93455449999999",,550,400,650,550,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,106,Suratthani Airport
C523,6154,USMANYTRAIN001,Koh Samui Any Hotel 06:30 - Suratthani Train 11:30,06:30,11:30,18,5:0 hrs.,"9.5355552,99.93455449999999",,400,300,500,400,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,109,Suratthani Train
C524,6155,USMANYTRAIN002,Koh Samui Any Hotel 11:30 - Suratthani Train 17:30,11:30,17:30,18,6:0 hrs.,"9.5355552,99.93455449999999",,400,300,500,400,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,109,Suratthani Train
C530,6156,USMANYTOWN001,Koh Samui Any Hotel 06:30 - Suratthani Town 11:00,06:30,11:00,18,4:30 hrs.,"9.5355552,99.93455449999999",,400,300,500,400,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,105,Suratthani town
C531,6157,USMANYTOWN002,Koh Samui Any Hotel 11:30 - Suratthani Town 17:30,11:30,17:30,18,6:0 hrs.,"9.5355552,99.93455449999999",,400,300,500,400,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,105,Suratthani town
C532,6158,USMANYKBVTOWN001,Koh Samui Any Hotel 06:30 - Krabi Town 12:50,06:30,12:50,18,6:20 hrs.,"9.5355552,99.93455449999999",,550,400,650,550,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,35,Krabi Town
C533,6159,USMANYKBVTOWN002,Koh Samui Any Hotel 11:30 - Krabi Town 18:45,11:30,18:45,18,7:15 hrs.,"9.5355552,99.93455449999999",,550,400,650,550,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,35,Krabi Town
C534,6160,USMANYNT001,Koh Samui Any Hotel 06:30 - Nopparat Thara 13:00,06:30,13:00,18,6:30 hrs.,"9.5355552,99.93455449999999",,600,450,750,600,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,36,Nopparat Thara
C535,6161,USMANYNT002,Koh Samui Any Hotel 11:30 - Nopparat Thara 19:00,11:30,19:00,18,7:30 hrs.,"9.5355552,99.93455449999999",,600,450,750,600,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,36,Nopparat Thara
C537,6162,USMANYNM001,Koh Samui Any Hotel 06:30 - Ao Nam Mao (Pier) 13:00,06:30,13:00,18,6:30 hrs.,"9.5355552,99.93455449999999",,600,450,750,600,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,131,Ao Nam Mao(Pier)
C538,6163,USMANYNM002,Koh Samui Any Hotel 11:30 - Ao Nam Mao (Pier) 19:00,11:30,19:00,18,7:30 hrs.,"9.5355552,99.93455449999999",,600,450,750,600,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,131,Ao Nam Mao(Pier)
C557,6180,ANMPNG0002,Ao Nam Mao 10:30 - Koh Phangan 18:45,10:30,18:45,16,8:15 hrs.,"8.028357999999999,98.86186799999996",,700,600,850,700,4,Krabi,11,Suratthani,14,City,49,Koh Phangan,22,Ao Nam Mao,68,Thongsala Pier
C558,6179,ANMUSM0003,Ao Nam Mao 10:30 - Koh Samui 17:45,10:30,17:45,16,7:15 hrs.,"8.028357999999999,98.86186799999996",,500,400,650,500,4,Krabi,11,Suratthani,14,City,50,Koh Samui,22,Ao Nam Mao,87,Nathon Pier
C559,6178,ANMUSMANY001,Ao Nam Mao 10:30 - Koh Samui(Any Hotel) 19:00,10:30,19:00,16,8:30 hrs.,"8.028357999999999,98.86186799999996",,700,600,850,700,4,Krabi,11,Suratthani,14,City,50,Koh Samui,22,Ao Nam Mao,0,
C560,6189,USMANYSAK002,Koh Samui Any Hotel 11.30 - Donsak Pier 15.30,11:30,15:30,18,4:0 hrs.,,,250,200,350,250,11,Suratthani,11,Suratthani,50,Koh Samui,46,Pier,0,,62,Donsak Pier
C561,6188,USMANYSAK001,Koh Samui Any Hotel 06.30 - Donsak Pier 09.30,06:30,09:30,18,3:0 hrs.,,,250,200,350,250,11,Suratthani,11,Suratthani,50,Koh Samui,46,Pier,0,,62,Donsak Pier
C568,6181,KBVBKK2,Krabi Any Hotel 16.00 - Bangkok(Southern Bus Terminal) 06.00,16:00,06:00,6,14:0 hrs.,"8.080930599999999, 98.89891539999996",,850,750,950,850,4,Krabi,1,Bangkok,14,City,73,Bangkok Bus Terminal,0,,145,Southern Bus Terminal (Sai Tai Mai)
C577,6164,USMBKK3,Koh Samui Any Hotel 11:30 - Bangkok 05:00,11:30,05:00,18,17:30 hrs.,,,950,850,1200,1100,11,Suratthani,1,Bangkok,50,Koh Samui,3,Khaosan road,0,,121,Bus Stop (Rajadamnoen Rd.)
C586,6165,USMLANTA0002,Koh Samui Any Hotel 06:30 - Koh Lanta 15:30,06:30,15:30,18,9:0 hrs.,,,700,600,900,700,11,Suratthani,4,Krabi,50,Koh Samui,17,Koh Lanta,0,,120,Sala Dan Pier
C587,6166,USMSOK0003,Koh Samui Any Hotel 06:30 - Khao Sok 14:30,06:30,14:30,18,8:0 hrs.,,,550,450,700,550,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,65,Khao Sok
C588,6167,USMSOK0004,Koh Samui Any Hotel 11:30 - Khao Sok 19:30,11:30,19:30,18,8:0 hrs.,,,550,450,700,550,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,65,Khao Sok
C589,6168,USMLAY0002,Koh Samui Any Hotel 06:30 - Railay Beach 13:30,06:30,13:30,18,7:0 hrs.,,,700,600,900,700,11,Suratthani,4,Krabi,50,Koh Samui,14,City,0,,37,Railay
C590,6169,USMPHI0002,Koh Samui Any Hotel 06:30 - Koh Phi Phi 15:00,06:30,15:00,18,8:30 hrs.,,,700,600,900,700,11,Suratthani,4,Krabi,50,Koh Samui,18,Koh Phi Phi,0,,30,Ton Sai Pier
C592,6199,TAOURT002,Koh Tao 10:00 - Suratthani Any Hotel 17:30,10:00,17:30,12,7:30 hrs.,"10.082857774850531,99.82352718332822",,600,500,750,600,11,Suratthani,11,Suratthani,51,Koh Tao,47,City,99,Mae Haad Pier,105,Suratthani town
C595,6190,PNGSOK0003,Koh Phangan 07:00 - Khao Sok Any Hotel 14:30,07:00,14:30,6,7:30 hrs.,"9.7109619,99.98247990000004",,600,500,700,600,11,Suratthani,11,Suratthani,49,Koh Phangan,47,City,68,Thongsala Pier,65,Khao Sok
C596,1691,PNGSOK0004,Koh Phangan 12:30 - Khao Sok Any Hotel 19:30,12:30,19:30,6,7:0 hrs.,"9.7109619,99.98247990000004",,600,500,700,600,11,Suratthani,11,Suratthani,49,Koh Phangan,47,City,68,Thongsala Pier,65,Khao Sok
C597,6202,USMURT0007,Koh Samui 08:00 - Suratthani Any Hotel 11:30,08:00,11:30,6,3:30 hrs.,"9.5355552,99.93455449999999",,300,250,400,300,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,87,Nathon Pier,105,Suratthani town
C598,6203,USMURT0008,Koh Samui 13:30 - Suratthani Any Hotel 17:30,13:30,17:30,6,4:0 hrs.,"9.5355552,99.93455449999999",,300,250,400,300,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,87,Nathon Pier,105,Suratthani town
C599,6192,USMSOK0005,Koh Samui 08:00 - Khao Sok Any Hotel 14:30,08:00,12:30,6,4:30 hrs.,https://goo.gl/maps/4hBbEZ14M4N2,,550,450,650,550,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,87,Nathon Pier,65,Khao Sok
C600,6193,USMSOK0006,Koh Samui 13:30 - Khao Sok Any Hotel 19:30,13:30,19:30,6,6:0 hrs.,https://goo.gl/maps/4hBbEZ14M4N2,,550,450,650,550,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,87,Nathon Pier,65,Khao Sok
C601,6182,USMCPN0002,Koh Samui Any Hotel 09:30 - Chumphon Pier 18:00,09:30,18:00,18,8:30 hrs.,"9.5355552,99.93455449999999",,850,500,1050,600,11,Suratthani,3,Chumphon,50,Koh Samui,71,Pier,0,,9,Matthaphon
C602,6183,USMCPN0003,Koh Samui Any Hotel 09:30 - Chumphon Train 18:30,09:30,18:30,18,9:0 hrs.,"9.5355552,99.93455449999999",,850,500,1050,600,11,Suratthani,3,Chumphon,50,Koh Samui,9,City,0,,15,Chumporn Train
C603,6184,USMSOK0007,Koh Samui Any Hotel 06:30 - Khao Sok Any Hotel 14:30,06:30,14:30,18,8:0 hrs.,"9.5355552,99.93455449999999",,650,550,800,650,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,65,Khao Sok
C604,6185,USMSOK0008,Koh Samui Any Hotel 11:30 - Khao Sok Any Hotel 19:30,11:30,19:30,18,8:0 hrs.,"9.5355552,99.93455449999999",,650,550,800,650,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,65,Khao Sok
