"stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"8","Donsak","9.2823238","99.7076122","","","0",""
"23","Koh Samui","9.5595578","99.9972839","","","0",""
"20","Koh Phangan","9.7318753","100.0135929","","","0",""
"24","Koh Tao","10.0956102","99.8403959","","","0",""
"557","Thong Sala Pier (Songserm)","9.710947","99.982474","","","1","Koh Phangan"
"581","Donsak Pier (Songserm)","9.337431","99.681091","","","1","Donsak"
"582","Nathon Pier (Songserm)","9.535567","99.934549","","","1","Koh Samui"
"650","Mae Haad Pier (Songserm)","10.084205","99.824123","","","1","Koh Tao"
"1012","Thong Sala Pier (Songserm)","9.710947","99.982474","","","1","Koh Phangan"
"1013","Donsak Pier (Songserm)","9.710947","99.982474","","","1","Donsak"
